Profile Name,Source,Navigation Level,Referrer Url,Webpage Url,Click Utc Ts
Kids,tvui,profilesGate,,,2024-02-23 19:26:22
Kids,tvui,profilesGate,,,2024-02-23 19:26:09
Kids,tvui,movieDetails,,,2024-02-21 21:08:29
Kids,tvui,profilesGate,,,2024-02-21 21:08:29
Kids,tvui,playback,,,2024-02-21 20:38:28
Kids,tvui,movieDetails,,,2024-02-21 20:38:28
Kids,tvui,playback,,,2024-02-21 20:23:27
Kids,tvui,postPlay,,,2024-02-21 20:23:27
Kids,tvui,playback,,,2024-02-21 20:23:11
Kids,tvui,postPlay,,,2024-02-21 20:23:11
Kids,tvui,postPlay,,,2024-02-21 20:01:51
Kids,tvui,playback,,,2024-02-21 20:01:51
Kids,tvui,playback,,,2024-02-21 20:01:48
Kids,tvui,postPlay,,,2024-02-21 20:01:48
Kids,tvui,movieDetails,,,2024-02-21 19:53:22
Kids,tvui,playback,,,2024-02-21 19:53:22
Kids,tvui,movieDetails,,,2024-02-21 19:53:19
Kids,tvui,browseTitles,,,2024-02-21 19:53:19
Kids,tvui,profileSelectionTransitionAnimation,,,2024-02-21 19:52:56
Kids,tvui,browseTitles,,,2024-02-21 19:52:56
Kids,tvui,profileSelectionTransitionAnimation,,,2024-02-21 19:52:54
Kids,tvui,profilesGate,,,2024-02-21 19:52:54
Kids,tvui,episodesSelector,,,2024-02-21 19:39:13
Kids,tvui,playback,,,2024-02-21 19:39:13
Kids,tvui,episodesSelector,,,2024-02-21 19:38:29
Kids,tvui,movieDetails,,,2024-02-21 19:38:29
Kids,tvui,movieDetails,,,2024-02-21 19:38:25
Kids,tvui,search,,,2024-02-21 19:38:25
Kids,tvui,search,,,2024-02-21 19:38:15
Kids,tvui,browseTitles,,,2024-02-21 19:38:15
Kids,tvui,profileSelectionTransitionAnimation,,,2024-02-21 19:37:27
Kids,tvui,browseTitles,,,2024-02-21 19:37:27
Kids,tvui,profileSelectionTransitionAnimation,,,2024-02-21 19:37:25
Kids,tvui,profilesGate,,,2024-02-21 19:37:25
Kids,tvui,profilesGate,,,2024-02-21 19:37:03
Kids,tvui,profilesGate,,,2024-02-17 08:02:31
Kids,tvui,profilesGate,,,2024-02-16 21:54:57
Kids,tvui,search,,,2024-02-16 21:54:57
Kids,tvui,movieDetails,,,2024-02-16 21:24:46
Kids,tvui,search,,,2024-02-16 21:24:46
Kids,tvui,movieDetails,,,2024-02-16 21:24:45
Kids,tvui,postPlay,,,2024-02-16 21:24:45
Kids,tvui,playback,,,2024-02-16 21:24:41
Kids,tvui,postPlay,,,2024-02-16 21:24:41
Kids,tvui,movieDetails,,,2024-02-16 21:09:01
Kids,tvui,playback,,,2024-02-16 21:09:01
Kids,tvui,playback,,,2024-02-16 21:08:55
Kids,tvui,movieDetails,,,2024-02-16 21:08:55
Kids,tvui,movieDetails,,,2024-02-16 20:55:25
Kids,tvui,playback,,,2024-02-16 20:55:25
Kids,tvui,playback,,,2024-02-16 20:55:17
Kids,tvui,movieDetails,,,2024-02-16 20:55:17
Kids,tvui,movieDetails,,,2024-02-16 20:20:02
Kids,tvui,playback,,,2024-02-16 20:20:02
Kids,tvui,playback,,,2024-02-16 20:19:51
Kids,tvui,movieDetails,,,2024-02-16 20:19:51
Kids,tvui,movieDetails,,,2024-02-16 19:42:58
Kids,tvui,playback,,,2024-02-16 19:42:58
Kids,tvui,movieDetails,,,2024-02-16 19:42:50
Kids,tvui,search,,,2024-02-16 19:42:50
Kids,tvui,browseTitles,,,2024-02-16 19:42:31
Kids,tvui,search,,,2024-02-16 19:42:31
Kids,tvui,movieDetails,,,2024-02-16 19:42:00
Kids,tvui,browseTitles,,,2024-02-16 19:42:00
Kids,tvui,browseTitles,,,2024-02-16 19:41:47
Kids,tvui,movieDetails,,,2024-02-16 19:41:47
Kids,tvui,profileSelectionTransitionAnimation,,,2024-02-16 19:39:03
Kids,tvui,browseTitles,,,2024-02-16 19:39:03
Kids,tvui,profileSelectionTransitionAnimation,,,2024-02-16 19:39:02
Kids,tvui,profilesGate,,,2024-02-16 19:39:02
Kids,tvui,profilesGate,,,2024-02-16 19:38:58
Kids,tvui,profilesGate,,,2024-02-16 18:22:56
Kids,tvui,profilesGate,,,2024-02-15 20:24:13
Kids,tvui,screenSaver,,,2024-02-15 20:24:13
Kids,tvui,screenSaver,,,2024-02-15 20:14:55
Kids,tvui,profilesGate,,,2024-02-15 20:14:55
Kids,tvui,profilesGate,,,2024-02-15 20:09:55
Kids,tvui,profilesGate,,,2024-02-14 19:08:26
Kids,tvui,movieDetails,,,2024-02-10 07:47:25
Kids,tvui,playback,,,2024-02-10 07:47:25
Kids,tvui,browseTitles,,,2024-02-10 07:47:23
Kids,tvui,browseTitles,,,2024-02-10 07:47:23
Kids,tvui,movieDetails,,,2024-02-10 07:47:23
Kids,tvui,profileSelectionTransitionAnimation,,,2024-02-10 07:46:26
