Profile Name,Title Desc,Selection Type,Choice Segment Id,Has Watched,Source,Utc Timestamp
Kids,"Minecraft: Story Mode: Season 1: ""The Order of the Stone""",countdown_complete,I’m cool if he is.,false,tvui,2021-10-30 17:46:19
Kids,"Minecraft: Story Mode: Season 1: ""The Order of the Stone""",countdown_complete,I’m Jesse.,false,tvui,2021-10-30 17:44:55
Kids,"Minecraft: Story Mode: Season 1: ""The Order of the Stone""",countdown_complete,Proud of you.,false,tvui,2021-10-30 17:43:22
Kids,"Minecraft: Story Mode: Season 1: ""The Order of the Stone""",countdown_complete,Jump,false,tvui,2021-10-30 17:40:53
Kids,"Minecraft: Story Mode: Season 1: ""The Order of the Stone""",countdown_complete,Craft Sword,false,tvui,2021-10-30 17:38:20
Kids,"Minecraft: Story Mode: Season 1: ""The Order of the Stone""",countdown_complete,I’m all in.,false,tvui,2021-10-30 17:37:13
Kids,"Minecraft: Story Mode: Season 1: ""The Order of the Stone""",countdown_complete,"Stay close, I’ll protect you.",false,tvui,2021-10-30 17:34:54
Kids,"Minecraft: Story Mode: Season 1: ""The Order of the Stone""",countdown_complete,Tall Grass,false,tvui,2021-10-30 17:33:00
Kids,"Minecraft: Story Mode: Season 1: ""The Order of the Stone""",countdown_complete,Smoke Trail,false,tvui,2021-10-30 17:32:14
Kids,"Minecraft: Story Mode: Season 1: ""The Order of the Stone""",countdown_complete,Warrior Whip,false,tvui,2021-10-30 17:29:27
Kids,"Minecraft: Story Mode: Season 1: ""The Order of the Stone""",countdown_complete,We’re going to crush you.,false,tvui,2021-10-30 17:28:16
Kids,"Minecraft: Story Mode: Season 1: ""The Order of the Stone""",countdown_complete,We’re the Order of the Pig.,false,tvui,2021-10-30 17:25:54
Kids,"Minecraft: Story Mode: Season 1: ""The Order of the Stone""",countdown_complete,Creeper,false,tvui,2021-10-30 17:23:03
Kids,"Minecraft: Story Mode: Season 1: ""The Order of the Stone""",countdown_complete,Gabriel is awesome.,false,tvui,2021-10-30 17:21:16
Kids,"Minecraft: Story Mode: Season 1: ""The Order of the Stone""",countdown_complete,"Not funny, Axel.",false,tvui,2021-10-30 17:18:51
Kids,"Minecraft: Story Mode: Season 1: ""The Order of the Stone""",countdown_complete,Chicken-sized zombies,false,tvui,2021-10-30 17:17:02
Kids,"Minecraft: Story Mode: Season 1: ""The Order of the Stone""",countdown_complete,Male Jesse,false,tvui,2021-10-30 17:14:02
Kids,"Minecraft: Story Mode: Season 1: ""The Order of the Stone""",countdown_complete,Male Jesse,false,tvui,2021-10-30 17:13:20
