Profile Name,Title Description,Device,Playback Start Utc Ts,Country,Playtraces
Kids,"Miraculous: Tales of Ladybug & Cat Noir: Season 1: ""Stormy Weather""",Samsung CE 2023 NikeL QLED TV Smart TV,2024-02-21 20:23:27,AL,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":1240,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":23256,""mediaOffsetMs"":22016},{""eventType"":""playing"",""sessionOffsetMs"":31256,""mediaOffsetMs"":30016},{""eventType"":""playing"",""sessionOffsetMs"":39256,""mediaOffsetMs"":38016},{""eventType"":""playing"",""sessionOffsetMs"":47256,""mediaOffsetMs"":46016}]"
Kids,"Miraculous: Tales of Ladybug & Cat Noir: Season 1: ""Mr. Pigeon""",Samsung CE 2023 NikeL QLED TV Smart TV,2024-02-21 20:01:51,AL,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":1620,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":23636,""mediaOffsetMs"":22016},{""eventType"":""playing"",""sessionOffsetMs"":31636,""mediaOffsetMs"":30016},{""eventType"":""playing"",""sessionOffsetMs"":39636,""mediaOffsetMs"":38016},{""eventType"":""playing"",""sessionOffsetMs"":47636,""mediaOffsetMs"":46016},{""eventType"":""paused"",""sessionOffsetMs"":668401,""mediaOffsetMs"":666285},{""eventType"":""playing"",""sessionOffsetMs"":671090,""mediaOffsetMs"":666285},{""eventType"":""paused"",""sessionOffsetMs"":674016,""mediaOffsetMs"":672136},{""eventType"":""reposition"",""sessionOffsetMs"":676941,""mediaOffsetMs"":674187},{""eventType"":""playing"",""sessionOffsetMs"":678561,""mediaOffsetMs"":674187},{""eventType"":""playing"",""sessionOffsetMs"":678571,""mediaOffsetMs"":673855},{""eventType"":""paused"",""sessionOffsetMs"":1296570,""mediaOffsetMs"":1291741},{""eventType"":""stopped"",""sessionOffsetMs"":1296908,""mediaOffsetMs"":1292138}]"
Kids,"Miraculous: Tales of Ladybug & Cat Noir: Season 1: ""The Bubbler""",Samsung CE 2023 NikeL QLED TV Smart TV,2024-02-21 19:53:23,AL,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":773800},{""eventType"":""playing"",""sessionOffsetMs"":2371,""mediaOffsetMs"":773800},{""eventType"":""playing"",""sessionOffsetMs"":26587,""mediaOffsetMs"":798016},{""eventType"":""playing"",""sessionOffsetMs"":34587,""mediaOffsetMs"":806016},{""eventType"":""playing"",""sessionOffsetMs"":42587,""mediaOffsetMs"":814016},{""eventType"":""playing"",""sessionOffsetMs"":50587,""mediaOffsetMs"":822016},{""eventType"":""paused"",""sessionOffsetMs"":509311,""mediaOffsetMs"":1280221},{""eventType"":""stopped"",""sessionOffsetMs"":509687,""mediaOffsetMs"":1280538}]"
Kids,Miraculous: Tales of Ladybug & Cat Noir: Season 2 part 2_hook_primary_16x9,Samsung CE 2023 NikeL QLED TV Smart TV,2024-02-21 19:53:02,AL,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":1287,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":20455,""mediaOffsetMs"":18637},{""eventType"":""stopped"",""sessionOffsetMs"":21853,""mediaOffsetMs"":19109}]"
Kids,Miraculous: Tales of Ladybug & Cat Noir: Season 2 part 2_hook_primary_16x9,Samsung CE 2023 NikeL QLED TV Smart TV,2024-02-21 19:53:01,AL,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":1602,""mediaOffsetMs"":0}]"
Kids,Plot Clip: Roald Dahl's Matilda The Musical,Samsung CE 2023 NikeL QLED TV Smart TV,2024-02-21 19:52:58,AL,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":2347,""mediaOffsetMs"":0}]"
Kids,"Miraculous: Tales of Ladybug & Cat Noir: Season 1: ""The Bubbler""",Samsung CE 2023 NikeL QLED TV Smart TV,2024-02-21 19:39:14,AL,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2589,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":24605,""mediaOffsetMs"":22016},{""eventType"":""playing"",""sessionOffsetMs"":32605,""mediaOffsetMs"":30016},{""eventType"":""playing"",""sessionOffsetMs"":40605,""mediaOffsetMs"":38016},{""eventType"":""playing"",""sessionOffsetMs"":48605,""mediaOffsetMs"":46016},{""eventType"":""stopped"",""sessionOffsetMs"":783589,""mediaOffsetMs"":781000}]"
Kids,"Miraculous: Tales of Ladybug & Cat Noir: Season 3: Part 1: ""Bakerix""",Samsung CE 2023 NikeL QLED TV Smart TV,2024-02-21 19:38:26,AL,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":1141360},{""eventType"":""playing"",""sessionOffsetMs"":2800,""mediaOffsetMs"":1141360},{""eventType"":""paused"",""sessionOffsetMs"":3541,""mediaOffsetMs"":1141649},{""eventType"":""stopped"",""sessionOffsetMs"":48747,""mediaOffsetMs"":1141649}]"
Kids,Season 2 Trailer: Action Pack,Samsung CE 2023 NikeL QLED TV Smart TV,2024-02-21 19:38:10,AL,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":1495,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":2891,""mediaOffsetMs"":1103},{""eventType"":""stopped"",""sessionOffsetMs"":6892,""mediaOffsetMs"":1103}]"
Kids,Despicable Me 3 - CLM 2,Samsung CE 2023 NikeL QLED TV Smart TV,2024-02-21 19:38:08,AL,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":1672,""mediaOffsetMs"":0}]"
Kids,Matilda_hook_04_16x9,Samsung CE 2023 NikeL QLED TV Smart TV,2024-02-21 19:38:07,AL,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":1924,""mediaOffsetMs"":0}]"
Kids,Plot Clip: Roald Dahl's Matilda The Musical,Samsung CE 2023 NikeL QLED TV Smart TV,2024-02-21 19:37:59,AL,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":1065,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":6871,""mediaOffsetMs"":5610},{""eventType"":""stopped"",""sessionOffsetMs"":8746,""mediaOffsetMs"":5610}]"
Kids,Season 1 Trailer: Pokémon Journeys: The Series,Samsung CE 2023 NikeL QLED TV Smart TV,2024-02-21 19:37:56,AL,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":1457,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":1633,""mediaOffsetMs"":25},{""eventType"":""stopped"",""sessionOffsetMs"":3659,""mediaOffsetMs"":25}]"
Kids,Plot Clip: Roald Dahl's Matilda The Musical,Samsung CE 2023 NikeL QLED TV Smart TV,2024-02-21 19:37:54,AL,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":1814,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":2099,""mediaOffsetMs"":16},{""eventType"":""stopped"",""sessionOffsetMs"":4047,""mediaOffsetMs"":16}]"
Kids,Season 1 Trailer: LEGO Ninjago: Dragons Rising,Samsung CE 2023 NikeL QLED TV Smart TV,2024-02-21 19:37:52,AL,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":1564,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":1916,""mediaOffsetMs"":174},{""eventType"":""stopped"",""sessionOffsetMs"":3186,""mediaOffsetMs"":308}]"
Kids,Season 1 Main Character Intro Clip 2: I Woke Up A Vampire,Samsung CE 2023 NikeL QLED TV Smart TV,2024-02-21 19:37:46,AL,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":1589,""mediaOffsetMs"":0}]"
Kids,Chapter 1 Inciting Incident Clip: Unicorn Academy,Samsung CE 2023 NikeL QLED TV Smart TV,2024-02-21 19:37:44,AL,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":1537,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":1746,""mediaOffsetMs"":137},{""eventType"":""stopped"",""sessionOffsetMs"":3188,""mediaOffsetMs"":180}]"
Kids,Plot Clip: Roald Dahl's Matilda The Musical,Samsung CE 2023 NikeL QLED TV Smart TV,2024-02-21 19:37:42,AL,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":1175,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":1503,""mediaOffsetMs"":105},{""eventType"":""stopped"",""sessionOffsetMs"":2914,""mediaOffsetMs"":327}]"
Kids,Trailer 1: Back to the Outback,Samsung CE 2023 NikeL QLED TV Smart TV,2024-02-21 19:37:39,AL,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":1631,""mediaOffsetMs"":0}]"
Kids,The Emoji Movie_hook_primary_16x9,Samsung CE 2023 NikeL QLED TV Smart TV,2024-02-21 19:37:37,AL,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":1738,""mediaOffsetMs"":0}]"
Kids,Plot Clip: Roald Dahl's Matilda The Musical,Samsung CE 2023 NikeL QLED TV Smart TV,2024-02-21 19:37:28,AL,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":4074,""mediaOffsetMs"":0}]"
