Profile Name,Country Iso Code,Device,Is Kids,Query Typed,Displayed Name,Action,Section,Utc Timestamp
Kids,AL,Smart TV,1,m,,play,title_results,2024-02-21 19:39:14
Kids,AL,Smart TV,1,m,,select,title_results,2024-02-21 19:38:25
Kids,AL,Smart TV,1,h,Home Alone,play,title_results,2024-02-16 20:55:25
Kids,AL,Smart TV,1,h,Home Alone,play,title_results,2024-02-16 20:20:02
Kids,AL,Smart TV,1,h,Home Alone,play,title_results,2024-02-16 19:42:52
Kids,AL,Smart TV,1,h,Home Alone,select,title_results,2024-02-16 19:42:50
Kids,AL,Smart TV,1,m,,play,title_results,2024-02-07 19:30:02
Kids,AL,Smart TV,1,m,,select,title_results,2024-02-07 19:30:01
Kids,AL,Smart TV,1,m,Nanny McPhee,play,title_results,2024-02-07 19:29:51
Kids,AL,Smart TV,1,m,Nanny McPhee,select,title_results,2024-02-07 19:29:49
Kids,AL,Smart TV,1,m,Matilda,play,title_results,2024-02-07 18:32:45
Kids,AL,Smart TV,1,m,Matilda,play,title_results,2024-02-07 17:43:57
Kids,AL,Smart TV,1,m,Matilda,select,title_results,2024-02-07 17:43:54
Kids,AL,Smart TV,1,,Sonic the Hedgehog 2,play,prequery_results,2023-11-18 13:33:45
Kids,AL,Smart TV,1,,Sonic the Hedgehog 2,select,prequery_results,2023-11-18 13:33:41
Kids,AL,Android Phone,1,horse,"Free Rein: Season 1: ""Raven""",play,title_results,2023-07-13 19:38:36
Kids,AL,Android Phone,1,horse,,select,title_results,2023-07-13 19:38:31
Kids,AL,Android Phone,1,horse,,select,title_results,2023-07-13 19:38:21
Kids,AL,Smart TV,1,,,select,prequery_results,2023-05-31 16:53:29
Kids,AL,Smart TV,1,,,select,prequery_results,2023-05-31 16:53:10
Kids,AL,Smart TV,1,,,select,prequery_results,2023-05-31 16:52:12
Kids,AL,Smart TV,1,mario,,play,title_results,2023-03-25 19:00:29
Kids,AL,Smart TV,1,mario,,select,title_results,2023-03-25 19:00:24
Kids,AL,Smart TV,1,,The SpongeBob Movie: Sponge Out of Water,select,prequery_results,2023-03-24 10:39:37
Kids,AL,Smart TV,1,garden of banban,The SpongeBob Movie: Sponge Out of Water,play,title_results,2023-03-18 12:04:50
Kids,AL,Smart TV,1,garden of banban,The SpongeBob Movie: Sponge Out of Water,select,title_results,2023-03-18 12:04:45
Kids,AL,Smart TV,1,,,play,prequery_results,2023-03-12 20:23:00
Kids,AL,Smart TV,1,,,select,prequery_results,2023-03-12 20:22:57
Kids,AL,Smart TV,1,pokemonj ,,play,title_results,2023-03-05 14:43:47
Kids,AL,Smart TV,1,pokemonj ,,play,title_results,2023-03-05 14:41:28
Kids,AL,Smart TV,1,pokemonj ,,select,title_results,2023-03-05 14:41:25
Kids,AL,Smart TV,1,sonic,,play,title_results,2022-09-28 17:50:36
Kids,AL,Smart TV,1,sonic,,play,title_results,2022-09-28 17:50:36
Kids,AL,Smart TV,1,sonic,,select,title_results,2022-09-28 17:50:32
Kids,AL,Smart TV,1,sonic,,select,title_results,2022-09-28 17:50:32
Kids,AL,Smart TV,1,to,,play,title_results,2021-12-15 20:35:23
Kids,AL,Smart TV,1,to,,select,title_results,2021-12-15 20:35:18
Kids,AL,Smart TV,1,frozen,Despicable Me 2,play,,2020-10-29 12:41:12
Kids,AL,Smart TV,1,frozen,Despicable Me 2,select,,2020-10-29 12:41:07
Kids,AL,Smart TV,1,masha,The Angry Birds Movie,play,,2020-10-28 16:42:09
Kids,AL,Smart TV,1,masha,The Angry Birds Movie,select,,2020-10-28 16:42:04
Evis,AL,HTML 5,0,knives,Glass Onion: A Knives Out Mystery,play,title_results,2024-02-08 15:37:20
