Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
Evis,NFCDCH-02-KHLLHGEG65D383VGVFYDWLKP7VJ1A7,Chrome PC (Cadmium),2023-10-17T20:01:57.232,2024-03-04T20:56:36.641,2023-11-07T15:03:39.067,2024-03-04T20:21:53.920,2023-10-17T20:01:57.232,2024-03-04T20:56:36.641,2023-11-07T15:03:39.067,2024-03-04T20:21:53.920,2024-03-04T17:02:51.097
Evis,NFANDROID1-PRV-B-L3-MTK==SMART=TV-4445-05EFC691513F0CAB3C171B2F07B11CD9E40B01A1975C3314A5B9BED9A5D486547,Netflix Android STB L3 Android,2022-02-06T18:11:50.747,2024-03-03T13:49:35.529,2022-02-06T18:11:50.747,2024-03-03T13:49:35.529,2022-02-06T18:11:50.747,2024-03-03T13:49:35.529,2022-02-06T18:11:50.747,2024-03-03T13:49:35.529,1970-01-01T00:00:00.000
Evis,NFANDROID1-PRV-P-GOOGLPIXEL=7-26924-605B8FECCE2AA36436E7679FE94425B3B0692B6B106BFB530F40A2AABDD69180,DefaultWidevineAndroidPhone,2024-02-09T20:07:56.424,2024-03-02T15:02:38.943,2024-02-16T19:59:35.711,2024-03-02T15:02:38.943,2024-02-09T20:07:56.424,2024-03-02T15:02:38.943,2024-02-16T19:59:35.711,2024-03-02T15:02:38.943,1970-01-01T00:00:00.000
Evis,NFANDROID1-PRV-B-L3-MTK==SMART=TV-4445-0D662D62228C64570C484F190478592757D4697B13E4050C53AD66B4A328A91DE,Netflix Android STB L3 Android,2023-10-17T20:05:09.047,2024-02-28T15:55:40.438,2023-10-17T20:05:09.047,2024-02-28T15:55:40.438,2023-10-17T20:05:09.047,2024-02-28T15:55:40.438,2023-10-17T20:05:09.047,2024-02-28T15:55:40.438,1970-01-01T00:00:00.000
Evis,SSTVNLC1==0000000000000001486580,Samsung CE 2023 NikeL QLED TV Smart TV,2024-01-03T19:55:45.276,2024-02-21T20:23:27.952,2024-01-04T16:37:19.449,2024-02-21T20:23:27.952,2024-01-03T19:55:45.276,2024-02-21T20:23:27.952,2024-01-04T16:37:19.449,2024-02-21T20:23:27.952,1970-01-01T00:00:00.000
Evis,NFANDROID1-PRV-P-GOOGLPIXEL=7-26924-CCEC0EF217C2B4D3F74C91AFF1F462B9EB140F5E8541C3AF99B1D806D42DB453,DefaultWidevineAndroidPhone,2023-03-30T16:36:13.923,2024-02-09T06:09:14.446,2023-03-30T16:36:13.923,2024-02-09T06:09:14.446,2023-03-30T16:36:13.923,2024-02-09T06:09:14.446,2023-03-30T16:36:13.923,2024-02-09T06:09:14.446,1970-01-01T00:00:00.000
Evis,NFCDCH-AP-K32W898D637QC5TH3946U1P3K1A38K,Netflix Android Phone-Chrome Android Phone,,,,,,,,,1970-01-01T00:00:00.000
Evis,WWW-BROWSE-KVN9GA6YMUEPXW6JYKKYXQNWACP463,Netflix WWW-BROWSER UNSUPPORTED BROWSER,,,,,,,,,1970-01-01T00:00:00.000
Evis,WWW-BROWSE-KVN9G9TCTM6J4EL5VXTUJ2PQMNEUCG,Netflix WWW-BROWSER UNSUPPORTED BROWSER,,,,,,,,,1970-01-01T00:00:00.000
Evis,WWW-BROWSE-KVN9G90WRC8V4YJTJH2QT947E67C8L,Netflix WWW-BROWSER UNSUPPORTED BROWSER,,,,,,,,,1970-01-01T00:00:00.000
