Esn,Localized Device Description,Device Description,Ip,Country,Region Code Display Name,Near Location,Ts
NFCDCH-02-KW9X0X1FT9X3UGC4FPJ0DA6JL82C3X,chrome-cadmium,chrome-cadmium,95.107.169.20,AL,Tirane,TIRANA,2024-02-08 15:36:30
NFANDROID1-PRV-P-GOOGLPIXEL=7-26924-CCEC0EF217C2B4D3F74C91AFF1F462B9EB140F5E8541C3AF99B1D806D42DB453,Google_Pixel 7,Google_Pixel 7,188.172.108.180,AL,Gjirokaster,GJIROKASTER,2023-11-25 19:25:12
NFANDROID1-PRV-P-GOOGLPIXEL=7-26924-CCEC0EF217C2B4D3F74C91AFF1F462B9EB140F5E8541C3AF99B1D806D42DB453,Google_Pixel 7,Google_Pixel 7,91.132.173.46,AL,Berat,BERAT,2023-05-13 14:02:34
NFANDROID1-PRV-P-GOOGLPIXEL=7-26924-CCEC0EF217C2B4D3F74C91AFF1F462B9EB140F5E8541C3AF99B1D806D42DB453,Google_Pixel 7,Google_Pixel 7,46.252.39.163,AL,Tirane,TIRANA,2023-08-22 05:52:55
NFANDROID1-PRV-P-GOOGLPIXEL=7-26924-CCEC0EF217C2B4D3F74C91AFF1F462B9EB140F5E8541C3AF99B1D806D42DB453,Google_Pixel 7,Google_Pixel 7,188.172.111.127,AL,Tirane,TIRANA,2023-09-04 13:54:45
NFANDROID1-PRV-P-GOOGLPIXEL=7-26924-CCEC0EF217C2B4D3F74C91AFF1F462B9EB140F5E8541C3AF99B1D806D42DB453,Google_Pixel 7,Google_Pixel 7,188.172.109.232,AL,Tirane,TIRANA,2024-01-03 20:13:54
NFANDROID1-PRV-P-GOOGLPIXEL=7-26924-CCEC0EF217C2B4D3F74C91AFF1F462B9EB140F5E8541C3AF99B1D806D42DB453,Google_Pixel 7,Google_Pixel 7,188.172.111.123,AL,Tirane,BASTAR I MESEM,2024-01-28 12:58:03
NFANDROID1-PRV-P-GOOGLPIXEL=7-26924-CCEC0EF217C2B4D3F74C91AFF1F462B9EB140F5E8541C3AF99B1D806D42DB453,Google_Pixel 7,Google_Pixel 7,188.172.111.40,AL,Tirane,SHERGJERGJ,2023-05-11 19:20:37
NFANDROID1-PRV-P-GOOGLPIXEL=7-26924-CCEC0EF217C2B4D3F74C91AFF1F462B9EB140F5E8541C3AF99B1D806D42DB453,Google_Pixel 7,Google_Pixel 7,188.172.110.40,AL,Vlore,VLORE,2024-01-21 13:22:23
NFANDROID1-PRV-P-GOOGLPIXEL=7-26924-CCEC0EF217C2B4D3F74C91AFF1F462B9EB140F5E8541C3AF99B1D806D42DB453,Google_Pixel 7,Google_Pixel 7,188.172.108.92,AL,Tirane,TIRANA,2023-05-17 14:20:30
NFANDROID1-PRV-P-GOOGLPIXEL=7-26924-CCEC0EF217C2B4D3F74C91AFF1F462B9EB140F5E8541C3AF99B1D806D42DB453,Google_Pixel 7,Google_Pixel 7,141.98.142.92,AL,Tirane,KAVAJE,2023-12-27 20:45:26
NFANDROID1-PRV-P-GOOGLPIXEL=7-26924-CCEC0EF217C2B4D3F74C91AFF1F462B9EB140F5E8541C3AF99B1D806D42DB453,Google_Pixel 7,Google_Pixel 7,188.172.111.94,AL,Tirane,BERXULLE,2023-07-13 19:38:25
NFANDROID1-PRV-P-GOOGLPIXEL=7-26924-CCEC0EF217C2B4D3F74C91AFF1F462B9EB140F5E8541C3AF99B1D806D42DB453,Google_Pixel 7,Google_Pixel 7,188.172.108.21,AL,Tirane,TIRANA,2023-08-02 18:26:55
NFANDROID1-PRV-P-GOOGLPIXEL=7-26924-CCEC0EF217C2B4D3F74C91AFF1F462B9EB140F5E8541C3AF99B1D806D42DB453,Google_Pixel 7,Google_Pixel 7,188.172.109.85,AL,Vlore,VRANISHT,2023-08-31 17:33:02
NFANDROID1-PRV-P-GOOGLPIXEL=7-26924-CCEC0EF217C2B4D3F74C91AFF1F462B9EB140F5E8541C3AF99B1D806D42DB453,Google_Pixel 7,Google_Pixel 7,109.178.163.222,GR,Attiki,GLIFADHA,2023-07-13 20:03:20
NFANDROID1-PRV-P-GOOGLPIXEL=7-26924-CCEC0EF217C2B4D3F74C91AFF1F462B9EB140F5E8541C3AF99B1D806D42DB453,Google_Pixel 7,Google_Pixel 7,188.172.110.155,AL,Durres,FUSHE KRUJE,2023-07-25 05:10:45
NFANDROID1-PRV-P-GOOGLPIXEL=7-26924-CCEC0EF217C2B4D3F74C91AFF1F462B9EB140F5E8541C3AF99B1D806D42DB453,Google_Pixel 7,Google_Pixel 7,188.172.109.54,AL,Durres,THUMANE,2023-08-09 17:08:46
NFANDROID1-PRV-P-GOOGLPIXEL=7-26924-CCEC0EF217C2B4D3F74C91AFF1F462B9EB140F5E8541C3AF99B1D806D42DB453,Google_Pixel 7,Google_Pixel 7,188.172.110.205,AL,Shkoder,SHKODER,2024-01-09 15:44:44
