Profile Name,Sent Utc Ts,Message Name,Channel,Country Iso Code,Account Locale,Email Locale,Title Name,Email Domain Name,Link Url,Click Utc Ts,Device Model,Click Cnt
Kids,2020-11-19 12:53:20,INAPP_NEW_SEASON_ALERT,NOTIFICATIONS,AL,,,The Boss Baby: Back in Business,GMAIL.COM,,,,0
Kids,2020-11-19 12:10:21,INAPP_NEW_ARRIVALS,NOTIFICATIONS,AL,,,The Princess Switch: Switched Again,GMAIL.COM,,,,0
Kids,2020-11-15 14:22:26,INAPP_ORIGINALS_PREPROMOTE,NOTIFICATIONS,AL,,,The Boss Baby: Back in Business,GMAIL.COM,,,,0
Kids,2020-11-13 14:50:25,INAPP_NEW_ARRIVALS,NOTIFICATIONS,AL,,,Jingle Jangle: A Christmas Journey,GMAIL.COM,,,,0
Kids,2020-11-05 13:25:34,INAPP_NEW_ARRIVALS,NOTIFICATIONS,AL,,,The SpongeBob Movie: Sponge on the Run,GMAIL.COM,,,,0
Kids,2020-11-03 12:46:52,INAPP_ORIGINALS_PREPROMOTE,NOTIFICATIONS,AL,,,The SpongeBob Movie: Sponge on the Run,GMAIL.COM,,,,0
Kids,2020-10-28 15:06:27,INAPP_NEW_ARRIVALS,NOTIFICATIONS,AL,,,Over the Moon,GMAIL.COM,,,,0
Evis,2024-03-03 17:38:31,Borrower Resolution Interstitial,ALERTS,AL,,,,GMAIL.COM,,,--,0
Evis,2024-03-02 16:50:25,Multichannel Prepromote,PUSH,AL,en-AL,en,Hot Wheels Let's Race,GMAIL.COM,,,MTK_SMART_TV,0
Evis,2024-03-02 16:50:21,Multichannel Prepromote,NOTIFICATIONS,AL,,,Hot Wheels Let's Race,GMAIL.COM,,,--,0
Evis,2024-03-02 16:43:46,Multichannel Prepromote,EMAIL,AL,en-AL,en,Hot Wheels Let's Race,GMAIL.COM,,,--,0
Evis,2024-03-02 16:01:34,Borrower Resolution Interstitial,ALERTS,AL,,,,GMAIL.COM,,,--,0
Evis,2024-03-01 11:21:51,Borrower Resolution Interstitial,ALERTS,AL,,,,GMAIL.COM,,,--,0
Evis,2024-02-29 14:49:44,Borrower Resolution Interstitial,ALERTS,AL,,,,GMAIL.COM,,,--,0
Evis,2024-02-29 12:01:11,Multichannel Launch,NOTIFICATIONS,AL,,,Mea Culpa,GMAIL.COM,,,--,0
Evis,2024-02-29 11:33:19,Multichannel Launch,EMAIL,AL,en-AL,en,Mea Culpa,GMAIL.COM,,,--,0
Evis,2024-02-28 17:30:07,Borrower Resolution Interstitial,ALERTS,AL,,,,GMAIL.COM,,,--,0
Evis,2024-02-27 17:52:59,Borrower Resolution Interstitial,ALERTS,AL,,,,GMAIL.COM,,,--,0
Evis,2024-02-26 17:51:35,Multichannel Launch,NOTIFICATIONS,AL,,,Avatar The Last Airbender,GMAIL.COM,,,--,0
Evis,2024-02-26 15:44:03,Borrower Resolution Interstitial,ALERTS,AL,,,,GMAIL.COM,,,--,0
Evis,2024-02-26 14:51:19,Multichannel Prepromote,EMAIL,AL,en-AL,en,Code 8 Part II,GMAIL.COM,,,--,0
Evis,2024-02-26 12:54:27,Multichannel Prepromote,NOTIFICATIONS,AL,,,Code 8 Part II,GMAIL.COM,,,--,0
Evis,2024-02-26 11:11:37,Multichannel Launch,EMAIL,AL,en-AL,en,Avatar The Last Airbender,GMAIL.COM,,,--,0
Evis,2024-02-25 17:35:07,Multichannel Prepromote,EMAIL,AL,en-AL,en,Chappelle's Home Team - Donnell Rawlings: A New Day,GMAIL.COM,,,--,0
